Person ID,Name,DOB,Fame,Comedic Timing,Dramatic Gravitas,Physicality,Creative Vision,Talent Management,Network Diplomacy
PERS_829401,A.J. Cook,1978-07-22,38,38,85,65,40,88,84
PERS_104928,Adam Baldwin,1962-02-27,44,84,88,92,45,88,88
PERS_592834,Adrian Pasdar,1965-04-30,42,38,88,78,45,72,70
PERS_384721,Al Jean,1961-01-09,15,55,85,10,85,85,92
PERS_912834,Al Michaels,1944-11-12,82,55,88,40,62,90,88
PERS_293847,Al Roker,1954-08-20,85,75,85,72,45,90,92
PERS_573920,Alec Baldwin,1958-04-03,91,97,85,75,50,65,82
PERS_647382,Alex Borstein,1971-02-15,55,95,75,65,60,86,82
PERS_192837,Ali Larter,1976-02-28,58,40,72,88,32,75,70
PERS_837465,Alyson Hannigan,1974-03-24,68,90,72,65,45,92,88
PERS_203948,Amanda Righetti,1983-04-04,22,38,85,65,38,85,82
PERS_748293,Amaury Nolasco,1970-12-24,41,35,82,85,35,85,78
PERS_564738,America Ferrera,1984-04-18,81,85,82,68,48,88,82
PERS_928374,Amy Brenneman,1964-06-22,62,45,88,55,45,88,82
PERS_182930,Amy Poehler,1971-09-16,84,94,75,88,82,90,88
PERS_475869,Ana Ortiz,1971-01-25,35,75,82,68,42,88,84
PERS_384950,Andrea Kremer,1959-02-25,38,28,85,55,58,90,88
PERS_596847,Andy Samberg,1978-08-18,67,94,45,92,80,88,82
PERS_283746,Angela Bassett,1958-08-16,78,35,96,70,55,92,90
PERS_736251,Angela Kinsey,1971-06-25,34,88,65,55,45,90,88
PERS_948576,Angus T. Jones,1993-10-08,65,80,55,55,30,78,70
PERS_102938,Ann Curry,1956-11-19,77,32,88,50,55,86,84
PERS_657483,Anna Torv,1979-06-07,12,45,88,75,45,88,84
PERS_493827,B.J. Novak,1979-07-31,45,90,75,65,85,84,88
PERS_819203,Barbara Walters,1929-09-25,96,25,94,20,75,90,96
PERS_374829,Barry Watson,1974-04-23,55,82,70,68,40,85,80
PERS_263748,BD Wong,1960-10-24,48,40,91,55,48,94,92
PERS_584736,Becki Newton,1978-07-04,39,88,78,72,45,88,86
PERS_938475,Bill Hader,1978-06-07,45,95,60,88,88,90,90
PERS_172839,Bob Schieffer,1937-02-25,72,20,95,10,65,92,90
PERS_637485,Bobby Lee,1971-09-17,33,92,45,95,60,65,55
PERS_293840,Brian Baumgartner,1972-11-29,32,90,55,75,42,90,88
PERS_584930,Brian Williams,1959-05-05,93,72,88,40,55,88,90
PERS_229384,Bruno Heller,1960-11-13,45,45,88,15,88,85,88
PERS_475829,Bruno Tonioli,1955-11-25,58,75,65,95,58,78,80
PERS_839405,Calista Flockhart,1964-11-11,83,68,85,65,42,78,75
PERS_102834,Camryn Manheim,1961-03-08,55,55,88,62,45,88,84
PERS_657382,Candice Bergen,1946-05-09,85,78,88,62,45,88,85
PERS_293841,Carlos Bernard,1962-10-12,55,30,88,80,38,88,82
PERS_992834,Carlton Cuse,1959-03-22,60,45,86,15,93,75,88
PERS_584739,Carol Mendelsohn,1951-12-02,80,40,85,10,85,88,90
PERS_928371,Carrie Ann Inaba,1968-01-05,59,59,70,78,55,84,82
PERS_374820,Carson Daly,1973-06-22,63,60,68,65,55,86,88
PERS_773829,Carter Bays,1975-08-12,30,65,80,15,80,85,88
PERS_182934,Chandra Wilson,1969-08-27,64,60,90,65,48,92,88
PERS_647389,Charles Gibson,1943-03-09,91,35,89,20,50,90,88
PERS_503928,Charlie Sheen,1965-09-03,94,93,60,65,30,25,15
PERS_293874,Cherry Jones,1956-11-21,65,30,92,60,45,92,88
PERS_837461,Chris Cuomo,1970-08-09,55,35,88,65,55,72,75
PERS_584762,Chris Hansen,1959-09-13,85,42,82,40,60,78,70
PERS_475820,Chris Wallace,1947-10-12,74,25,91,20,65,88,90
PERS_192830,Christina Applegate,1971-11-25,82,90,75,72,45,86,80
PERS_584729,Christopher Meloni,1961-04-02,78,48,91,85,38,88,82
PERS_928345,Chuck Lorre,1952-10-18,90,88,85,10,88,62,90
PERS_364758,Cobie Smulders,1982-04-03,47,88,75,72,42,88,86
PERS_748290,Conan O'Brien,1963-04-18,92,94,55,90,80,88,75
PERS_203941,Conchata Ferrell,1943-03-28,44,92,75,60,45,90,88
PERS_584721,Connie Britton,1967-03-06,56,45,88,70,55,92,90
PERS_928310,Conrad Green,1963-09-24,70,55,80,10,85,86,84
PERS_172830,Cote de Pablo,1979-11-12,52,42,85,88,42,88,86
PERS_637429,Craig Ferguson,1962-05-17,68,92,65,85,78,85,80
PERS_882910,Craig Thomas,1971-06-26,30,65,80,15,80,85,88
PERS_482919,Damon Lindelof,1973-04-24,65,45,85,15,93,55,82
PERS_384759,Dan Castellaneta,1957-10-29,65,97,55,30,55,90,88
PERS_829304,Dana Delany,1956-03-13,70,60,85,65,42,88,80
PERS_102839,Daniel Dae Kim,1968-08-04,61,32,88,85,40,88,80
PERS_574839,Dann Florek,1951-05-01,45,45,92,60,45,92,90
PERS_283740,David Boreanaz,1969-05-16,76,68,85,84,45,80,78
PERS_647321,David Conrad,1967-08-17,35,35,82,60,38,88,84
PERS_552891,David Corvo,1954-06-15,35,40,82,10,82,88,92
PERS_938472,David Hasselhoff,1952-07-17,86,72,55,78,40,58,60
PERS_475830,David Letterman,1947-04-12,98,93,72,68,55,78,85
PERS_182937,David McCallum,1933-09-19,66,55,88,45,40,94,88
PERS_119283,David Shore,1959-07-03,55,55,85,15,86,82,88
PERS_663782,David Sloan,1963-04-12,30,40,82,10,82,88,90
PERS_829371,Dennis Murphy,1950-02-14,40,42,88,45,60,88,86
PERS_829345,Diane Sawyer,1945-12-22,94,35,93,25,72,88,92
PERS_293871,Dominic Purcell,1970-02-17,54,30,86,90,35,84,75
PERS_552839,Ed Bernero,1962-08-29,40,40,85,10,85,86,88
PERS_504938,Ed Helms,1974-01-24,51,92,70,75,48,88,84
PERS_736281,Elisabeth Hasselbeck,1977-05-28,69,52,68,75,50,58,65
PERS_475891,Elizabeth Vargas,1962-09-06,78,25,90,25,65,85,86
PERS_192843,Ellen Pompeo,1969-11-10,88,42,85,50,38,82,86
PERS_647392,Emily Deschanel,1976-10-11,63,65,85,62,45,90,86
PERS_374859,Eric Mabius,1971-04-22,45,65,86,68,45,82,82
PERS_839201,Eric Szmanda,1975-07-24,45,45,82,75,38,85,80
PERS_273849,Eva Longoria,1975-03-15,89,78,70,72,35,78,75
PERS_584920,Evangeline Lilly,1979-08-03,79,45,82,90,32,72,65
PERS_928304,Felicity Huffman,1962-12-09,87,65,88,62,42,85,80
PERS_102934,Fred Armisen,1966-12-04,50,94,60,80,82,85,88
PERS_475860,George Eads,1967-03-01,62,35,82,80,35,72,65
PERS_839412,George Stephanopoulos,1961-02-10,81,45,92,45,68,88,90
PERS_293856,Gordon Ramsay,1966-11-08,80,80,82,95,80,65,88
PERS_637492,Greg Daniels,1963-06-13,80,90,85,15,90,90,92
PERS_182940,Greg Grunberg,1966-07-11,43,78,72,70,45,90,85
PERS_574823,Guillermo Rodriguez,1971-01-27,30,82,45,75,35,94,92
PERS_912837,Hank Azaria,1964-04-25,75,96,72,70,50,88,85
PERS_384752,Harry Smith,1951-08-21,65,35,86,45,50,88,85
PERS_663728,Hart Hanson,1957-07-26,45,45,85,15,85,88,88
PERS_736294,Hayden Panettiere,1989-08-21,84,40,65,82,30,75,65
PERS_736284,Hoda Kotb,1964-08-09,70,75,82,78,55,90,90
PERS_203918,Holland Taylor,1943-01-14,61,88,85,58,52,92,88
PERS_938461,Hugh Laurie,1959-06-11,89,88,95,75,55,85,88
PERS_475892,Ice-T,1958-02-16,79,70,85,65,35,88,80
PERS_102845,Jack McBrayer,1973-05-27,42,92,55,85,42,94,92
PERS_647359,James Morrison,1954-04-21,45,30,91,65,45,90,88
